admission_number,full_name,parent_email,class_name,date_of_birth
B003240396,ADAM SALIM,parent14@example.com,7 GREEN,2012-07-05
B003240966,MWALIMU MAWAZO,parent14@example.com,7 GREEN,2012-11-28
B003358089,BAHATI SAID,parent15@example.com,7 GREEN,2012-01-18
B004859174,BIHIJA YUSUF,parent15@example.com,7 GREEN,2012-04-22
B004909007,PILI HAMISI,parent16@example.com,7 GREEN,2012-08-15
A002685980,JEMALIPI HAMISI,parent16@example.com,7 GREEN,2012-12-10
A002834475,PRISCILLA MWENI MUTUKU,parent17@example.com,7 GREEN,2012-02-05
A006873362,JACOB OLOO OHIAMO,parent17@example.com,7 GREEN,2012-05-28
B002612361,FAITH MKAWANDU RICHARD,parent18@example.com,7 GREEN,2012-09-14
B002203146,SOFIA OMAR ISMAEL,parent18@example.com,7 GREEN,2012-03-25
B006741268,PONY KACHE KAHINDI,parent19@example.com,7 GREEN,2012-07-08
B003220352,ZAINAB KANINI BEJA,parent19@example.com,7 GREEN,2012-10-18
A002660406,SUSAN NATASHA,parent20@example.com,7 GREEN,2012-01-30
B002895675,RIZIKI SWALEH,parent20@example.com,7 GREEN,2012-04-10
B002831329,HASHIM JUMA,parent21@example.com,7 GREEN,2012-06-25
DORCAS TRIZAH,parent21@example.com,7 GREEN,2012-11-05
B002155354,RUKIA ABDALLA,parent22@example.com,7 YELLOW,2012-03-15
B002198068,HAMISI ASHA,parent22@example.com,7 YELLOW,2012-08-22
B002205986,IRENE SOLOMON,parent23@example.com,7 YELLOW,2012-05-10
B002426691,BRANDON BAKILO,parent23@example.com,7 YELLOW,2012-10-03
B002426759,BRAYSON OSANO,parent24@example.com,7 YELLOW,2012-02-18
B002552613,ASIA MOHAMED,parent24@example.com,7 YELLOW,2012-07-25
B002575782,CALVINE ONYANGO,parent25@example.com,7 YELLOW,2012-09-12
B002831378,MWALIMU MWASAMBURI,parent25@example.com,7 YELLOW,2012-04-28
B002868240,TATU HOPE,parent26@example.com,7 YELLOW,2012-12-15
B002886441,KESSIA A AUMA,parent26@example.com,7 YELLOW,2012-01-20
B002887565,EMMANUEL ODINTI,parent27@example.com,7 YELLOW,2012-06-30
B002887761,ALI YAKUB,parent27@example.com,7 YELLOW,2012-11-08
B002888453,KHALIMA ALI,parent28@example.com,7 YELLOW,2012-03-03
B002212681,GIDEON MUTEREMA,parent28@example.com,7 YELLOW,2012-08-15
B002932365,DAVID ELIAKIM,parent29@example.com,7 YELLOW,2012-10-22
B002988642,NAOMI ANGELINA,parent29@example.com,7 YELLOW,2012-05-05
B002988896,MARY EGWA KIMANI,parent30@example.com,7 YELLOW,2012-02-12
B002989840,FATUMA SHEBANI,parent30@example.com,7 YELLOW,2012-07-19
B003036486,DANIEL OGOLLA,parent31@example.com,7 YELLOW,2012-09-25
B003036658,RIZIKI NADZUA,parent31@example.com,7 YELLOW,2012-04-08
B003048350,NELSON WEKESA,parent32@example.com,7 YELLOW,2012-01-15
B003048474,ABDALLA ALI,parent32@example.com,7 YELLOW,2012-06-22
B003059515,REHEMA HAMISI,parent33@example.com,7 YELLOW,2012-10-30
B003059902,PATRICK ODEO,parent33@example.com,7 YELLOW,2012-12-05
B003060084,ALPHONCE ODHIAMBO,parent34@example.com,7 YELLOW,2012-03-18
B002170146,NELSON OCHIENG',parent34@example.com,7 YELLOW,2012-08-12
B003061491,MWANATE BAKARI,parent35@example.com,7 YELLOW,2012-11-25
A002677061,MOHAMED KALIAN,parent35@example.com,7 YELLOW,2012-05-30
B003166428,STACY ATIENO,parent36@example.com,7 YELLOW,2012-09-10
B003254909,DAVID MUSA,parent36@example.com,7 YELLOW,2012-02-28
B003354398,SAMANTHA ATIENO,parent37@example.com,7 YELLOW,2012-07-15
B003399753,PETER MWAKUGHU,parent37@example.com,7 YELLOW,2012-04-20
B003437478,OMAR RAMA,parent38@example.com,7 YELLOW,2012-10-10
B002097352,BARAKA KIPKOECH,parent38@example.com,7 YELLOW,2012-01-05
B004908988,BRIGHTON OTIENO,parent39@example.com,7 YELLOW,2012-06-18
B007048788,MDUNGU MWENDA,parent39@example.com,7 YELLOW,2012-08-25
B007298465,SHAKILER AWOUR,parent40@example.com,7 YELLOW,2012-11-12
B007299366,VALLARY ADHIAMBO,parent40@example.com,7 YELLOW,2012-03-22
B007299558,NICOLE MWENDE,parent41@example.com,7 YELLOW,2012-09-05
B007299739,SADIKI MBWANA,parent41@example.com,7 YELLOW,2012-12-18
B002886948,JENNIFER KERUBO,parent42@example.com,7 YELLOW,2012-05-08
A002407944,ABDULRAHMAN KASSIMU,parent43@example.com,8 GREEN,2011-04-15
A001641173,AGNES MICHAEL KIMANI,parent43@example.com,8 GREEN,2011-09-22
A001649571,AMINA ALII MUTSOMA,parent44@example.com,8 GREEN,2011-02-10
B001678422,ASHA MOHAMED,parent44@example.com,8 GREEN,2011-07-18
A001895103,BAKARI HASSAN OMAR,parent45@example.com,8 GREEN,2011-10-03
B001751331,BINTI HAMISI,parent45@example.com,8 GREEN,2011-03-25
A001703372,BRAVIN WEKESA WANJALA,parent46@example.com,8 GREEN,2011-08-12
B003255078,EMMANUEL OCHIENG OKAL,parent46@example.com,8 GREEN,2011-11-28
A001650282,EMMANUEL ODUOR,parent47@example.com,8 GREEN,2011-05-05
A001427087,ESTHER NYAMBURA MBUGUA,parent47@example.com,8 GREEN,2011-12-15
A001718281,FATUMA JUMWA,parent48@example.com,8 GREEN,2011-01-20
A002339623,FELIX OKOTH,parent48@example.com,8 GREEN,2011-06-30
A001747650,GRACE WAKIO MWANYENGELA,parent49@example.com,8 GREEN,2011-09-08
A001708686,HADIJA HASSAN HAMISI,parent49@example.com,8 GREEN,2011-02-14
A001700508,HADIJA ZULA AMINA,parent50@example.com,8 GREEN,2011-07-22
A001638414,JANE MLONGO MKUTA,parent50@example.com,8 GREEN,2011-10-10
B001974827,JOSPHAT MGHANGA MAGHANGA,parent51@example.com,8 GREEN,2011-03-05
A001771770,JULIET EDNA OCHOLA,parent51@example.com,8 GREEN,2011-08-19
A002535386,LIZ ATIENO AKUMU,parent52@example.com,8 GREEN,2011-11-02
A001659752,LUKAS OTIENO,parent52@example.com,8 GREEN,2011-04-28
A001700576,MARIAM KATANA,parent53@example.com,8 GREEN,2011-09-15
B001682871,MARION ATIENO ABISALOM,parent53@example.com,8 GREEN,2011-12-03
B001769852,MATANO HASSAN,parent54@example.com,8 GREEN,2011-02-08
A001597111,MELVIN ACHIENG' ABONG'O,parent54@example.com,8 GREEN,2011-06-25
B005010609,MITCHEL WAYUA MAUNDU,parent55@example.com,8 GREEN,2011-10-18
A001618041,MIZE IDD MWAKIMU,parent55@example.com,8 GREEN,2011-03-12
A001641060,MOHAMMED YUNUS MOHAMMED,parent56@example.com,8 GREEN,2011-07-30
A001532844,MUSA ALI BANDARI,parent56@example.com,8 GREEN,2011-11-22
A001523341,SAMSON MWALEWA MWACHITI,parent57@example.com,8 GREEN,2011-04-05
A001708272,MWANGOMA NYAMAWI MBOGA,parent57@example.com,8 GREEN,2011-08-18
B001908334,MWINYI EDA MWINYIMKUBWA,parent58@example.com,8 GREEN,2011-12-10
A001759574,NEWTONE ISAACK OCHOLA,parent58@example.com,8 GREEN,2011-05-22
A001700157,PATIENCE ZIGHE CHIRO,parent59@example.com,8 GREEN,2011-09-30
B004909113,RAPHAELIAN FAVOURED OTIENO,parent59@example.com,8 GREEN,2011-02-15
A001958412,REHEMA MWALIMU HAMISI,parent60@example.com,8 GREEN,2011-06-08
B005021616,SHARQUEEN ADHIAMBO,parent60@example.com,8 GREEN,2011-10-25
A001989515,SHIDA CALEB NGUA,parent61@example.com,8 GREEN,2011-03-20
A001924804,SHIDA JOSHUA CHAI,parent61@example.com,8 GREEN,2011-07-14
B001785254,UMAZI NYAWA MUNGA,parent62@example.com,8 GREEN,2011-11-05
B000123456,RACHAEL WALI MASA,parent62@example.com,8 GREEN,2011-04-18
A001896439,BINTI ALI DAKTARI,parent63@example.com,8 YELLOW,2011-08-12
B001974975,BRITNEY ALICE NJOKI,parent63@example.com,8 YELLOW,2011-12-05
A001532708,CALVIN JAMES AGINGA,parent64@example.com,8 YELLOW,2011-03-28
B006006363,CHARLES BENZ,parent64@example.com,8 YELLOW,2011-07-22
B001448961,CHARLES KIGASIA,parent65@example.com,8 YELLOW,2011-10-15
A001646338,COSMAS WAINAINA,parent65@example.com,8 YELLOW,2011-02-08
A001695526,EMMANUEL OCHIENG,parent66@example.com,8 YELLOW,2011-05-19
A001747904,ESTHER ANYANGO NAMAYI,parent66@example.com,8 YELLOW,2011-09-03
A001780490,FELSTER KERUBO MAKORI,parent67@example.com,8 YELLOW,2011-11-25
A001896617,FIDEL CASTRO JUMA,parent67@example.com,8 YELLOW,2011-04-12
A001659702,HAFSAH MBODZE MIDALIMU,parent68@example.com,8 YELLOW,2011-07-30
A001747340,HALIMA HAMISI OMAR,parent68@example.com,8 YELLOW,2011-10-18
A002097826,JIMMY KASENA AMOS,parent69@example.com,8 YELLOW,2011-12-08
A001682922,JOHN OKENYE ONCHARI,parent69@example.com,8 YELLOW,2011-03-15
A001699872,JUMA SALIM CHARERO,parent70@example.com,8 YELLOW,2011-06-22
A001655838,KARUA HAMISI SAID,parent70@example.com,8 YELLOW,2011-09-10
A001644547,KIBIBI NDORO,parent71@example.com,8 YELLOW,2011-11-28
A001617960,MEALI RAMADHANI MOHAMED,parent71@example.com,8 YELLOW,2011-02-14
A001747478,MEJUMAA HASSAN YUSUF,parent72@example.com,8 YELLOW,2011-05-05
A002322568,MONICAH WANGARI GIKUBU,parent72@example.com,8 YELLOW,2011-08-19
B001917139,MOSES OBAMA ODHIAMBO,parent73@example.com,8 YELLOW,2011-10-30
A001675834,MWANAKOMBO WANJE,parent73@example.com,8 YELLOW,2011-03-08
A001718367,MWANAMWALI SHILLNGI AMRI,parent74@example.com,8 YELLOW,2011-06-15
A001644642,MWANASITI HAMISI RUGA,parent74@example.com,8 YELLOW,2011-09-22
A001649991,MWIDANI JAMALI SHILINGI,parent75@example.com,8 YELLOW,2011-12-02
A001895243,OMAR HASSAN YUSSUF,parent75@example.com,8 YELLOW,2011-04-18
A001649761,PHIONA LINDA P.M,parent76@example.com,8 YELLOW,2011-07-25
A001504079,RITA MUHANDA OMEMO,parent76@example.com,8 YELLOW,2011-10-12
A001649862,SALMA KATANA KIPAWA,parent77@example.com,8 YELLOW,2011-12-28
A001649172,SAMSON NGUNGU KISILU,parent77@example.com,8 YELLOW,2011-03-22
B003255089,SHANTELLE ZIL OKAL,parent78@example.com,8 YELLOW,2011-06-08
A001848741,SILA BATI GAO,parent78@example.com,8 YELLOW,2011-09-15
A001832756,STEPHEN OTIENO,parent79@example.com,8 YELLOW,2011-11-05
B001543027,SUDI KASSIM,parent79@example.com,8 YELLOW,2011-02-28
A001700371,YASMIN KAMAU LEBOO,parent80@example.com,8 YELLOW,2011-05-20
B005012073,ZIPORAH SERITA GWETH,parent80@example.com,8 YELLOW,2011-08-10
A001896649,NASRA HASSAN RASHID,parent81@example.com,8 YELLOW,2011-10-28
B005837600,ELIJA MUNANU,parent81@example.com,8 YELLOW,2011-12-15
B003395543,MOHAMED SULEIMAN,parent82@example.com,8 YELLOW,2011-03-30
B001654682,ABDALLA OMAR MWAMWENGO,parent83@example.com,9 GREEN,2010-04-15
B000557536,ABDULRAHMAN OMAR ALI,parent83@example.com,9 GREEN,2010-08-22
B000867422,AGNESS AKINYI MBUYA,parent84@example.com,9 GREEN,2010-01-10
B001253667,ALI ISSA. HASSAN,parent84@example.com,9 GREEN,2010-05-18
B001035155,ALI MOHAMMED,parent85@example.com,9 GREEN,2010-09-25
B001336159,ALPHA ADAMS OYUGI,parent85@example.com,9 GREEN,2010-12-03
B001968714,AMINA MWINYIMKUBWA MWINYIEDA,parent86@example.com,9 GREEN,2010-02-12
B000554332,AQUILINAH SABINA WAWUDA,parent86@example.com,9 GREEN,2010-06-20
B000867381,BABRA AWINO,parent87@example.com,9 GREEN,2010-10-08
B000866481,BAKARI HAMISI BAKARI,parent87@example.com,9 GREEN,2010-03-05
B000910320,BRIAN WAMBUA,parent88@example.com,9 GREEN,2010-07-22
B001396938,DANIEL MWENDWA,parent88@example.com,9 GREEN,2010-11-15
B000352676,DENNIS KIPCHUMBA,parent89@example.com,9 GREEN,2010-04-28
B000866669,DENZELE OCHIENG,parent89@example.com,9 GREEN,2010-08-10
B001164430,ELISHA OCHIENG,parent90@example.com,9 GREEN,2010-12-18
B000557931,EMMACULATE BEATRICE MUSKHE,parent90@example.com,9 GREEN,2010-05-30
B000555456,FATUMA ELINA,parent91@example.com,9 GREEN,2010-09-08
B000867456,FAUZIA ABDALLA SAGGAF,parent91@example.com,9 GREEN,2010-01-25
B003066998,GLORIA NANJALA KUNYU,parent92@example.com,9 GREEN,2010-03-18
B000040854,GLORIA WAIRIMU,parent92@example.com,9 GREEN,2010-07-05
B000518669,HADIJA LUVUNO MWERO,parent93@example.com,9 GREEN,2010-10-22
B000867704,HAMISI OMARI,parent93@example.com,9 GREEN,2010-02-28
B000866169,HANNAH MWAVISWA,parent94@example.com,9 GREEN,2010-06-15
B001456094,HASSAN ALI KOMBO,parent94@example.com,9 GREEN,2010-09-30
B000510830,JUMA TSUMA,parent95@example.com,9 GREEN,2010-12-12
B001303035,JUNESTEVE MASIKA,parent95@example.com,9 GREEN,2010-04-05
B000702909,MARION DONNA OTIENO,parent96@example.com,9 GREEN,2010-07-18
A002294409,MBARAK SEIF JUMA,parent96@example.com,9 GREEN,2010-10-25
B000866426,MDOE MWACHUPA,parent97@example.com,9 GREEN,2010-01-08
B000508317,MILTON ODUOR,parent97@example.com,9 GREEN,2010-03-22
B000554399,MKASI SALIM,parent98@example.com,9 GREEN,2010-05-15
B000867897,MOSES MAKOKHA,parent98@example.com,9 GREEN,2010-08-28
B001253699,MUSA KENGA,parent99@example.com,9 GREEN,2010-11-10
B000554985,MWANAMKASI SAID,parent99@example.com,9 GREEN,2010-02-14
B003255082,NDIMU MAKAU,parent100@example.com,9 GREEN,2010-04-25
B000554741,NEEMA NANCY,parent100@example.com,9 GREEN,2010-07-08
B000866346,NYAMAWI CHIWAYA,parent101@example.com,9 GREEN,2010-09-15
B000867603,RAMADHAN OMAR,parent101@example.com,9 GREEN,2010-11-28
B000285681,RANGACHE VIVIAN NYANCHERA,parent102@example.com,9 GREEN,2010-01-30
B001035144,REBECCA MIRIAM,parent102@example.com,9 GREEN,2010-03-12
B000554484,REHEMA OMARI,parent103@example.com,9 GREEN,2010-05-25
B001456023,SHERYL ATIENO,parent103@example.com,9 GREEN,2010-08-08
B000865960,VIVIAN KABIBI AMANI,parent104@example.com,9 GREEN,2010-10-18
B001035126,WARDA SAID,parent104@example.com,9 GREEN,2010-12-30
B000518592,WILLIAM SULWE ALUSO,parent105@example.com,9 GREEN,2010-02-05
B000556028,ZUBEDA DORA SILA,parent105@example.com,9 GREEN,2010-04-18
B001035175,HASSAN HAMISI,parent106@example.com,9 GREEN,2010-06-22
A002362015,GEORGE OTIENO,parent106@example.com,9 GREEN,2010-08-30
B000554260,ALOYCE OKUMU OLELE,parent107@example.com,9 GREEN,2010-10-10
B003229712,SHANNEL MWATANDO MBANGO,parent107@example.com,9 GREEN,2010-12-18
B000555172,IDD OMOLLO ANTEMBE,parent108@example.com,9 GREEN,2010-01-28
B001456087,KASHI ABDURHIMAN,parent108@example.com,9 GREEN,2010-03-10
B001911816,PETER KIOKO SAMUEL,parent109@example.com,9 GREEN,2010-05-22
B001035140,KAWTHAR MWAKITAWA ATHUMANI,parent109@example.com,9 GREEN,2010-07-15
B001432732,HAMISI JOHO CHIMOYO,parent110@example.com,9 GREEN,2010-09-25
B003685628,ERICK OTIENO ONYANGO,parent111@example.com,9 YELLOW,2010-03-18
B000554560,ABEDNEGO SHISIA,parent111@example.com,9 YELLOW,2010-06-22
B001019102,ABEL MASHA,parent112@example.com,9 YELLOW,2010-09-10
B004074091,AISHA KOMBE HOPE,parent112@example.com,9 YELLOW,2010-11-28
B000557289,ALI BORA AFYA,parent113@example.com,9 YELLOW,2010-02-05
B001456011,ALI JAMBIA MIRAJI,parent113@example.com,9 YELLOW,2010-04-18
B001974154,AMINA MBWANA NZALIAH,parent114@example.com,9 YELLOW,2010-06-30
B000557073,DAN OKOTH JUMA,parent114@example.com,9 YELLOW,2010-08-12
B003833654,DELSON OBURE ISABOKE,parent115@example.com,9 YELLOW,2010-10-25
B000867616,IBRAHIM MOHAMMED,parent115@example.com,9 YELLOW,2010-12-08
B000153869,PHIDEL OBAMA ODHIAMBO,parent116@example.com,9 YELLOW,2010-01-20
B000866253,IDD RAJAB,parent116@example.com,9 YELLOW,2010-03-15
B000246957,JEREMIAH OTIENO,parent117@example.com,9 YELLOW,2010-05-28
B003178674,JOEL MUSYIMI MWALI,parent117@example.com,9 YELLOW,2010-07-10
B003905399,MARY MBODZE DELE,parent118@example.com,9 YELLOW,2010-09-22
B001456002,MARYANNE KISILU,parent118@example.com,9 YELLOW,2010-11-05
B000032753,MARYJOY MUNGIRI NDWIGA,parent119@example.com,9 YELLOW,2010-12-18
B003066651,MOHAMED OMAR,parent119@example.com,9 YELLOW,2010-02-28
B001974284,MUSA MOHAMMED,parent120@example.com,9 YELLOW,2010-04-10
B001456006,MWAKIMASHA HUSSEIN,parent120@example.com,9 YELLOW,2010-06-22
B001456028,MWANAJUMA SALLIM JUMA,parent121@example.com,9 YELLOW,2010-08-05
B000555724,MWANASITI SWALEHE,parent121@example.com,9 YELLOW,2010-10-18
B000429220,MWANASITI MWINYI,parent122@example.com,9 YELLOW,2010-12-30
B002806134,MWERO RUTH CHIZI MANGALE,parent122@example.com,9 YELLOW,2010-02-12
B000866602,MWIJAA IDD SEIF,parent123@example.com,9 YELLOW,2010-04-25
B000555643,NDORO ALI,parent123@example.com,9 YELLOW,2010-06-08
B000867852,NGOME MWACHUPA,parent124@example.com,9 YELLOW,2010-08-20
B000555062,OMARI NUH,parent124@example.com,9 YELLOW,2010-10-02
B000129929,PAULINE KAVEMBA JOHN,parent125@example.com,9 YELLOW,2010-11-15
B001497602,MARIAM MBEYU ABDALLAH,parent125@example.com,9 YELLOW,2010-01-08
B001166022,TRACY IMALI,parent126@example.com,9 YELLOW,2010-02-20
B000555774,RASHID SALIM CHARERO,parent126@example.com,9 YELLOW,2010-04-03
B000554597,RIZIKI MALUKI KAKUNDI,parent127@example.com,9 YELLOW,2010-05-16
B000867877,RODGERS MNYASA WAFULA,parent127@example.com,9 YELLOW,2010-06-28
B000866230,SALIM HAMISI SALIM,parent128@example.com,9 YELLOW,2010-08-10
B000206138,SHARON ATIENO. ONOKA,parent128@example.com,9 YELLOW,2010-09-22
B000867805,SOLOMON MUSYOKA,parent129@example.com,9 YELLOW,2010-11-05
B000867482,SUMEIYA MBARAK,parent129@example.com,9 YELLOW,2010-12-18
B000556295,VENADIUS MONCHARI,parent130@example.com,9 YELLOW,2010-01-30
B003066796,YUSUF OMAR,parent130@example.com,9 YELLOW,2010-03-12
B001349065,HAMISI WANI,parent131@example.com,9 YELLOW,2010-04-25
A001591948,HAMZA DUNIA WAZI,parent131@example.com,9 YELLOW,2010-06-08
B000183984,MERCY MASIKA,parent132@example.com,9 YELLOW,2010-07-20
B000032736,SAMUEL KIMATHI NDWIGA,parent132@example.com,9 YELLOW,2010-09-02
B000783765,DERICK MAKOKHA,parent133@example.com,9 YELLOW,2010-10-15
A002525603,ESTHER MBONE MUTISO,parent133@example.com,9 YELLOW,2010-11-28
